證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
2324,仁寶,28914190,25855569,3058621,0.0,0.0,0,21000,20000000,-19979000,1815581,94000,82436,11564,2263000,458983,1804017,-15104798
2882,國泰金,15431110,12616890,2814220,0.0,0.0,0,0,9571309,-9571309,425960,4000,0,4000,702800,280840,421960,-6331129
2408,南亞科,39016047,36834550,2181497,0.0,0.0,0,355000,8613000,-8258000,-1091048,735000,1615237,-880237,1514411,1725222,-210811,-7167551
2887,台新新光金,42830167,55726598,-12896431,0.0,0.0,0,0,7381000,-7381000,1072004,9000,4060,4940,1224000,156936,1067064,-19205427
2880,華南金,15243233,13490900,1752333,0.0,0.0,0,0,6011000,-6011000,138112,7000,45661,-38661,263000,86227,176773,-4120555
2883,凱基金,23178300,51037597,-27859297,0.0,0.0,0,47000,5536000,-5489000,142615,65000,120841,-55841,361168,162712,198456,-33205682
2881,富邦金,15406924,16043192,-636268,0.0,0.0,0,430000,5437693,-5007693,332616,4000,194310,-190310,666102,143176,522926,-5311345
2890,永豐金,16937899,14457233,2480666,0.0,0.0,0,66000,5033000,-4967000,-313247,107000,106238,762,65000,379009,-314009,-2799581
1402,遠東新,7477000,11365554,-3888554,0.0,0.0,0,3000,4893000,-4890000,56305,3000,14559,-11559,130000,62136,67864,-8722249
2885,元大金,14659144,13800291,858853,0.0,0.0,0,0,4672000,-4672000,269232,126000,114872,11128,347000,88896,258104,-3543915
2891,中信金,21608038,15471305,6136733,0.0,0.0,0,0,3561237,-3561237,659146,20000,8000,12000,859554,212408,647146,3234642
4958,臻鼎-KY,14686272,13310932,1375340,0.0,0.0,0,101000,2789000,-2688000,344666,179277,59000,120277,979078,754689,224389,-967994
2449,京元電子,11633256,13623211,-1989955,0.0,0.0,0,255000,2906000,-2651000,-417475,315416,502086,-186670,982036,1212841,-230805,-5058430
2353,宏碁,3686020,9476000,-5789980,0.0,0.0,0,7000,2187000,-2180000,-13873,72189,2680,69509,84000,167382,-83382,-7983853
00992A,主動群益科技創新,25593552,15265377,10328175,0.0,0.0,0,0,1200000,-1200000,2344132,5000,480000,-475000,11525849,8706717,2819132,11472307
2474,可成,1184200,1884038,-699838,0.0,0.0,0,0,1145269,-1145269,-10199,1000,972,28,110000,120227,-10227,-1855306
3450,聯鈞,975191,713507,261684,0.0,0.0,0,0,1134000,-1134000,-76864,38000,111131,-73131,54288,58021,-3733,-949180
2618,長榮航,12056100,12997518,-941418,0.0,0.0,0,3000,1110504,-1107504,-316616,45000,54000,-9000,54000,361616,-307616,-2365538
00891,中信關鍵半導體,10432184,7834056,2598128,0.0,0.0,0,0,800000,-800000,-57377735,10000,0,10000,3387062,60774797,-57387735,-55579607
2492,華新科,2200147,1728688,471459,0.0,0.0,0,1000,781000,-780000,-35157,38000,96000,-58000,70278,47435,22843,-343698
6005,群益證,3610000,7758028,-4148028,0.0,0.0,0,0,738954,-738954,0,0,0,0,0,0,0,-4886982
2027,大成鋼,19946535,13249219,6697316,0.0,0.0,0,100000,797000,-697000,-647012,28048,403000,-374952,177856,449916,-272060,5353304
2884,玉山金,18131724,24089447,-5957723,0.0,0.0,0,0,687000,-687000,11640,34000,54000,-20000,109000,77360,31640,-6633083
3665,貿聯-KY,2711749,1884720,827029,0.0,0.0,0,146000,671081,-525081,40551,47200,69220,-22020,189219,126648,62571,342499
5876,上海商銀,6860874,5695109,1165765,0.0,0.0,0,0,476000,-476000,114699,1828,35370,-33542,176000,27759,148241,804464
2356,英業達,14505983,14549141,-43158,0.0,0.0,0,14000,441000,-427000,-459837,17074,64903,-47829,222791,634799,-412008,-929995
6446,藥華藥,1320620,1952408,-631788,0.0,0.0,0,0,361000,-361000,-28689,65200,91965,-26765,28,1952,-1924,-1021477
9904,寶成,7161000,9191000,-2030000,0.0,0.0,0,3000,359647,-356647,-118596,10428,119942,-109514,30013,39095,-9082,-2505243
4938,和碩,5452211,8159765,-2707554,0.0,0.0,0,4000,327027,-323027,-138260,0,75048,-75048,25000,88212,-63212,-3168841
2385,群光,588500,1867200,-1278700,0.0,0.0,0,6300,307878,-301578,291808,301000,7594,293406,13077,14675,-1598,-1288470
