證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
2303,聯電,89982424,135903619,-45921195,0.0,0.0,0,32872300,12165168,20707132,481273,604000,1130533,-526533,3295357,2287551,1007806,-24732790
2344,華邦電,66652382,85790753,-19138371,0.0,0.0,0,7463000,1000,7462000,-286181,1274000,1092405,181595,1380119,1847895,-467776,-11962552
2327,國巨*,22894115,27511250,-4617135,0.0,0.0,0,6940000,91000,6849000,-1129820,292851,993318,-700467,1438055,1867408,-429353,1102045
2330,台積電,14699399,24221226,-9521827,0.0,0.0,0,6500000,70500,6429500,520298,49200,170000,-120800,1071553,430455,641098,-2572029
2376,技嘉,14876919,14182501,694418,0.0,0.0,0,3132000,78000,3054000,-220998,197996,494270,-296274,616068,540792,75276,3527420
2313,華通,33973472,20726499,13246973,0.0,0.0,0,2524000,227000,2297000,668957,177000,219000,-42000,971485,260528,710957,16212930
6278,台表科,5417256,8266597,-2849341,0.0,0.0,0,1566000,7000,1559000,-325573,185000,323238,-138238,229878,417213,-187335,-1615914
3090,日電貿,11983386,13468000,-1484614,0.0,0.0,0,1498000,0,1498000,57320,299984,70933,229051,424407,596138,-171731,70706
1605,華新,11680200,14445875,-2765675,0.0,0.0,0,1026000,0,1026000,-832342,21000,357000,-336000,804229,1300571,-496342,-2572017
3189,景碩,7218513,7200591,17922,0.0,0.0,0,633000,20000,613000,408960,317579,143579,174000,483556,248596,234960,1039882
6415,矽力*-KY,2022000,2586004,-564004,0.0,0.0,0,452000,0,452000,142847,16000,6000,10000,176847,44000,132847,30843
6531,愛普*,3035532,3243410,-207878,0.0,0.0,0,396000,0,396000,-33394,20000,8000,12000,58729,104123,-45394,154728
2481,強茂,12353000,10995051,1357949,0.0,0.0,0,384000,0,384000,886256,516351,93351,423000,738557,275301,463256,2628205
3231,緯創,9509958,16614273,-7104315,0.0,0.0,0,662000,295000,367000,306138,562000,106000,456000,258524,408386,-149862,-6431177
2345,智邦,1616875,2227755,-610880,0.0,0.0,0,298000,0,298000,48782,32143,14784,17359,76601,45178,31423,-264098
3711,日月光投控,8538591,14487102,-5948511,0.0,0.0,0,1815000,1553000,262000,-144275,94000,222220,-128220,1093837,1109892,-16055,-5830786
1582,信錦,5389005,3552200,1836805,0.0,0.0,0,240000,0,240000,236506,201366,90092,111274,145749,20517,125232,2313311
3037,欣興,9166974,8940343,226631,0.0,0.0,0,790000,578000,212000,-148442,219022,310279,-91257,672345,729530,-57185,290189
3017,奇鋐,2124775,2900228,-775453,0.0,0.0,0,205001,4000,201001,8351,13000,31069,-18069,287971,261551,26420,-566101
3563,牧德,1403084,1764251,-361167,0.0,0.0,0,200000,0,200000,5647,6000,2000,4000,62835,61188,1647,-155520
8210,勤誠,579551,617209,-37658,0.0,0.0,0,205000,27000,178000,-27517,5210,23000,-17790,44552,54279,-9727,112825
6706,惠特,2751058,1573250,1177808,0.0,0.0,0,172000,0,172000,207489,16074,2312,13762,234715,40988,193727,1557297
3583,辛耘,708614,894400,-185786,0.0,0.0,0,165000,0,165000,-10503,4000,25088,-21088,55078,44493,10585,-31289
3533,嘉澤,656277,478458,177819,0.0,0.0,0,180000,23000,157000,6530,19200,11100,8100,24397,25967,-1570,341349
3023,信邦,962800,749000,213800,0.0,0.0,0,156000,4000,152000,3353,3000,14771,-11771,25228,10104,15124,369153
6782,視陽,98000,321017,-223017,0.0,0.0,0,100000,0,100000,-17152,0,17017,-17017,0,135,-135,-140169
00935,野村臺灣新科技50,1089138,1844100,-754962,0.0,0.0,0,100000,0,100000,-491768,0,0,0,5794859,6286627,-491768,-1146730
6239,力成,14003272,16737574,-2734302,0.0,0.0,0,178000,84000,94000,806148,554000,148224,405776,1172844,772472,400372,-1834154
6442,光聖,611091,823250,-212159,0.0,0.0,0,106000,16000,90000,1706,75882,74217,1665,1032,991,41,-120453
6139,亞翔,1289804,1258957,30847,0.0,0.0,0,108000,24000,84000,39349,32565,49377,-16812,86884,30723,56161,154196
